Time,Action,Price
2025-03-23 04:00:00+00:00,BUY,84094.265625
2025-03-24 15:00:00+00:00,SELL,88324.6015625
2025-03-24 19:00:00+00:00,BUY,88243.6875
2025-03-28 16:00:00+00:00,SELL,83779.328125
2025-03-30 02:00:00+00:00,BUY,83287.25
2025-04-06 18:00:00+00:00,SELL,78977.8203125
2025-04-07 14:00:00+00:00,BUY,78970.8359375
2025-04-09 03:00:00+00:00,SELL,75003.03125
2025-04-09 08:00:00+00:00,BUY,77310.1015625
2025-04-09 17:00:00+00:00,SELL,82134.9296875
2025-04-11 04:00:00+00:00,BUY,80839.1640625
2025-04-12 14:00:00+00:00,SELL,84888.9765625
2025-04-14 03:00:00+00:00,BUY,84494.984375
2025-04-19 23:00:00+00:00,SELL,85095.8203125
